,spx,vix,ConfidenceIndex,SPX Return,Confidence Delta
1/31/2012,1312.410034,19.44,103.9,,
2/29/2012,1365.680054,18.43,105,,1.06%
4/30/2012,1397.910034,17.15,103,,-1.90%
5/31/2012,1310.329956,24.06,104.2,4.06%,1.17%
7/31/2012,1379.319946,18.93,98.2,2.36%,-5.76%
8/31/2012,1406.579956,17.47,99.4,-6.27%,1.22%
10/31/2012,1412.160034,18.6,106.1,5.27%,6.74%
11/30/2012,1416.180054,15.87,105.1,1.98%,-0.94%
12/31/2012,1426.189941,18.02,103.7,0.40%,-1.33%
1/31/2013,1498.109985,14.28,104.5,0.28%,0.77%
2/28/2013,1514.680054,15.51,108.2,0.71%,3.54%
4/30/2013,1597.569946,13.52,103.7,5.04%,-4.16%
5/31/2013,1630.73999,16.3,99,1.11%,-4.53%
7/31/2013,1685.72998,13.45,97.2,5.47%,-1.82%
9/30/2013,1681.550049,16.6,99.8,2.08%,2.67%
10/31/2013,1756.540039,13.75,102.9,3.37%,3.11%
12/31/2013,1848.359985,13.72,102.3,-0.25%,-0.58%
1/31/2014,1782.589966,18.41,101.1,4.46%,-1.17%
2/28/2014,1859.449951,14,103.1,5.23%,1.98%
3/31/2014,1872.339966,13.88,107.9,-3.56%,4.66%
4/30/2014,1883.949951,13.41,104.8,4.31%,-2.87%
6/30/2014,1960.22998,11.57,104.7,0.69%,-0.10%
7/31/2014,1930.670044,16.95,104.4,0.62%,-0.29%
9/30/2014,1972.290039,16.31,105.4,4.05%,0.96%
10/31/2014,2018.050049,14.03,103.4,-1.51%,-1.90%
12/31/2014,2058.899902,19.2,105.8,2.16%,2.32%
3/31/2015,2067.889893,15.29,107.1,2.32%,1.23%
4/30/2015,2085.51001,14.55,107.6,2.02%,0.47%
6/30/2015,2063.110107,18.23,105.5,0.44%,-1.95%
7/31/2015,2103.840088,12.12,104.5,0.85%,-0.95%
8/31/2015,1972.180054,28.43,104,-1.07%,-0.48%
9/30/2015,1920.030029,24.5,105.6,1.97%,1.54%
11/30/2015,2080.409912,16.13,104.1,-6.26%,-1.42%
12/31/2015,2043.939941,18.21,103.7,-2.64%,-0.38%
2/29/2016,1932.22998,20.55,104.4,8.35%,0.68%
3/31/2016,2059.73999,13.95,100,-1.75%,-4.21%
5/31/2016,2096.949951,14.19,99.8,-5.47%,-0.20%
6/30/2016,2098.860107,15.63,102.9,6.60%,3.11%
8/31/2016,2170.949951,13.42,105.6,1.81%,2.62%
9/30/2016,2168.27002,13.29,104.6,0.09%,-0.95%
10/31/2016,2126.149902,17.06,107.2,3.43%,2.49%
11/30/2016,2198.810059,13.33,108.6,-0.12%,1.31%
1/31/2017,2278.870117,11.99,109.2,-1.94%,0.55%
2/28/2017,2363.639893,12.92,112.6,3.42%,3.11%
3/31/2017,2362.719971,12.37,111,3.64%,-1.42%
5/31/2017,2411.800049,10.41,112,3.72%,0.90%
6/30/2017,2423.409912,11.18,113.3,-0.04%,1.16%
7/31/2017,2470.300049,10.26,114.6,2.08%,1.15%
8/31/2017,2471.649902,10.59,114.7,0.48%,0.09%
,,,,1.93%,
,,,,0.05%,
